14:49:13.894 Connected to CP210x device
14:49:14.128 Timeout
14:49:15.134 Timeout
14:49:16.141 Timeout
14:49:17.147 Timeout
14:49:18.154 Timeout
14:49:18.628 RX 9
14:49:19.628 RX 10
14:49:20.635 Timeout
14:49:21.631 RX 12
14:49:22.629 RX 13
14:49:23.629 RX 14
14:49:24.630 RX 15
14:49:25.630 RX 16
14:49:26.630 RX 17
14:49:27.630 RX 18
14:49:28.631 RX 19
14:49:29.631 RX 20
14:49:30.631 RX 21
14:49:31.632 RX 22
14:49:32.633 RX 23
14:49:33.632 RX 24
14:49:34.632 RX 25
14:49:35.633 RX 26
14:49:36.633 RX 27
14:49:37.633 RX 28
14:49:38.634 RX 29
14:49:39.634 RX 30
14:49:40.634 RX 31
14:49:41.634 RX 32
14:49:42.635 RX 33
14:49:43.635 RX 34
14:49:44.635 RX 35
14:49:45.636 RX 36
14:49:46.636 RX 37
14:49:47.636 RX 38
14:49:48.636 RX 39
14:49:49.637 RX 40
14:49:50.637 RX 41
14:49:51.637 RX 42
14:49:52.639 RX 43
14:49:53.638 RX 44
14:49:54.639 RX 45
14:49:55.640 RX 46
14:49:56.640 RX 47
14:49:57.639 RX 48
14:49:58.639 RX 49
14:49:59.640 RX 50
14:50:00.640 RX 51
14:50:01.640 RX 52
14:50:02.640 RX 53
14:50:03.641 RX 54
14:50:04.641 RX 55
14:50:05.641 RX 56
14:50:06.642 RX 57
14:50:07.642 RX 58
14:50:08.642 RX 59
14:50:09.642 RX 60
14:50:10.643 RX 61
14:50:11.643 RX 62
14:50:12.643 RX 63
14:50:13.644 RX 64
14:50:14.644 RX 65
14:50:15.644 RX 66
14:50:16.644 RX 67
14:50:17.645 RX 68
14:50:18.645 RX 69
14:50:19.645 RX 70
14:50:20.648 RX 71
14:50:21.646 RX 72
14:50:22.653 Timeout
14:50:23.646 RX 74
14:50:24.647 RX 75
14:50:25.647 RX 76
14:50:26.647 RX 77
14:50:27.648 RX 78
14:50:28.648 RX 79
14:50:29.648 RX 80
14:50:30.648 RX 81
14:50:31.650 RX 82
14:50:32.649 RX 83
14:50:33.649 RX 84
14:50:34.650 RX 85
14:50:35.650 RX 86
14:50:36.650 RX 87
14:50:37.650 RX 88
14:50:38.651 RX 89
14:50:39.651 RX 90
14:50:40.651 RX 91
14:50:41.652 RX 92
14:50:42.652 RX 93
14:50:43.652 RX 94
14:50:44.652 RX 95
14:50:45.653 RX 96
14:50:46.653 RX 97
14:50:47.654 RX 98
14:50:48.654 RX 99
14:50:49.656 RX 100
14:50:50.654 RX 0
14:50:51.654 RX 1
14:50:52.656 RX 2
14:50:53.655 RX 3
14:50:54.655 RX 4
14:50:55.656 RX 5
14:50:56.656 RX 6
14:50:57.656 RX 7
14:50:58.656 RX 8
14:50:59.659 RX 9
14:51:00.657 RX 10
14:51:01.657 RX 11
14:51:02.658 RX 12
14:51:03.664 Timeout
14:51:04.659 RX 14
14:51:05.658 RX 15
14:51:06.659 RX 16
14:51:07.662 RX 17
14:51:08.659 RX 18
14:51:09.660 RX 19
14:51:10.660 RX 20
14:51:11.660 RX 21
